USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
rushikeshgade     1880   0.0  0.0 410295504   2432   ??  Ss    5:31PM   0:00.02 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
rushikeshgade     1879   0.0  0.0 410296528   2432   ??  Ss    5:31PM   0:00.03 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
rushikeshgade     1878   0.0  0.1 410378656  12368   ??  Ss    5:31PM   0:00.07 /System/Library/PrivateFrameworks/TextToSpeechMauiSupport.framework/Versions/A/PlugIns/MauiAUSP.appex/Contents/MacOS/MauiAUSP -AppleLanguages ("en-IN")
rushikeshgade     1877   0.0  0.1 426955536   9696   ??  S     5:31PM   0:00.13 /System/Library/PrivateFrameworks/TextToSpeechVoiceBankingSupport.framework/Support/voicebankingd
rushikeshgade     1876   0.0  0.1 410506960  10192   ??  Ss    5:31PM   0:00.05 /System/Library/PrivateFrameworks/MacinTalk.framework/Versions/A/PlugIns/WardaSynthesizer_arm64.appex/Contents/MacOS/WardaSynthesizer_arm64 -AppleLanguages ("en-IN")
rushikeshgade     1873   0.0  0.0 410753648   2848   ??  Ss    5:31PM   0:00.13 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/AUCrashHandlerService.xpc/Contents/MacOS/AUCrashHandlerService
root              1875   0.0  0.0 426916144   2464   ??  Ss    5:31PM   0:00.02 /System/Library/CoreServices/CrashReporterSupportHelper server-init
rushikeshgade     1874   0.0  0.0 34027396   1200   ??  Ss    5:31PM   0:00.26 /System/Library/PrivateFrameworks/MacinTalk.framework/Versions/A/PlugIns/WardaSynthesizer_x86_64.appex/Contents/MacOS/WardaSynthesizer_x86_64 -AppleLanguages ("en-IN")
rushikeshgade     1872   0.0  0.0 410287312   2432   ??  Ss    5:31PM   0:00.03 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
rushikeshgade     1871   0.0  0.1 410367808  10064   ??  Ss    5:31PM   0:00.06 /System/Library/PrivateFrameworks/TextToSpeechKonaSupport.framework/Versions/A/PlugIns/KonaSynthesizer.appex/Contents/MacOS/KonaSynthesizer -AppleLanguages ("en-IN")
rushikeshgade     1870   0.0  0.1 410236128  10336   ??  Ss    5:31PM   0:00.05 /System/Library/PrivateFrameworks/TextToSpeech.framework/PlugIns/SiriAUSP.appex/Contents/MacOS/SiriAUSP -AppleLanguages ("en-IN")
rushikeshgade     1868   0.0  0.0 410163568   2160   ??  Ss    5:31PM   0:00.05 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.ComponentTagHelper.xpc/Contents/MacOS/com.apple.audio.ComponentTagHelper
rushikeshgade     1869   0.0  0.1 427066752  10768   ??  S     5:31PM   0:00.95 /System/Library/Frameworks/CoreSpotlight.framework/spotlightknowledged -u
root              1867   0.0  0.0 410753984   2848   ??  Ss    5:31PM   0:00.05 /System/Library/PrivateFrameworks/AppStoreDaemon.framework/Versions/A/XPCServices/com.apple.AppStoreDaemon.StorePrivilegedODRService.xpc/Contents/MacOS/com.apple.AppStoreDaemon.StorePrivilegedODRService
_installcoordinationd  1866   0.0  0.1 426917056   4944   ??  Ss    5:31PM   0:00.06 /System/Library/PrivateFrameworks/InstallCoordination.framework/Support/installcoordinationd
rushikeshgade     1858   0.0  0.3 426968528  23760   ??  S     5:31PM   0:00.74 /System/Library/PrivateFrameworks/AppStoreDaemon.framework/Support/appstoreagent
_neuralengine     1857   0.0  0.0 426950992   4176   ??  Ss    5:31PM   0:00.08 /usr/libexec/aneuserd
root              1859   0.0  0.0 426916704   2912   ??  Ss    5:31PM   0:00.06 /System/Library/PrivateFrameworks/PackageKit.framework/Resources/system_installd
root              1861   0.0  0.0 426916704   2928   ??  Ss    5:31PM   0:00.04 /System/Library/PrivateFrameworks/PackageKit.framework/Resources/installd
rushikeshgade     1860   0.0  0.0 426912624   2512   ??  S     5:31PM   0:00.03 /System/Library/PrivateFrameworks/GeoServices.framework/geodMachServiceBridge
rushikeshgade     1856   0.0  0.4 426957952  31216   ??  S     5:31PM   0:03.28 /usr/libexec/siriknowledged
rushikeshgade     1855   0.0  0.3 411200112  26400   ??  Ss    5:31PM   0:00.45 /System/Library/PrivateFrameworks/SiriSuggestionsSupport.framework/Versions/A/XPCServices/SiriSuggestionsBookkeepingService.xpc/Contents/MacOS/SiriSuggestionsBookkeepingService
rushikeshgade     1854   0.0  0.2 426960224  13520   ??  S     5:31PM   0:00.11 /usr/libexec/diagnosticextensionsd
rushikeshgade     1851   0.0  0.1 426950560   7520   ??  S     5:31PM   0:00.07 /System/Library/PrivateFrameworks/LockdownMode.framework/Versions/A/XPCServices/lockdownmoded
rushikeshgade     1853   0.0  0.2 426961536  19072   ??  S     5:31PM   0:00.73 /System/Library/PrivateFrameworks/UsageTracking.framework/Versions/A/UsageTrackingAgent
rushikeshgade     1852   0.0  0.5 410765760  39376   ??  S     5:31PM   0:01.80 /System/Library/PrivateFrameworks/SiriInference.framework/Versions/A/siriinferenced
rushikeshgade     1850   0.0  0.1 426951024   6480   ??  S     5:31PM   0:01.38 /Library/Apple/System/Library/CoreServices/XProtect.app/Contents/XPCServices/XProtectPluginService.xpc/Contents/MacOS/XProtectPluginService
rushikeshgade     1840   0.0  0.1 426950784   8896   ??  S     5:31PM   0:01.00 /System/Library/PrivateFrameworks/ModelCatalogRuntime.framework/Versions/A/ModelCatalogAgent
rushikeshgade     1827   0.0  0.2 426961520  14944   ??  SN    5:31PM   0:00.82 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdbulkimport -s mdworker-bundle -c MDSImporterBundleFinder -m com.apple.metadata.mdbulkimport
rushikeshgade     1824   0.0  0.4 427111360  32736   ??  S     5:31PM   0:00.20 /System/Library/PrivateFrameworks/SoftwareUpdate.framework/Resources/SoftwareUpdateNotificationManager.app/Contents/MacOS/SoftwareUpdateNotificationManager
_driverkit        1802   0.0  0.0 426851568    992   ??  Ss    5:31PM   0:00.01 /System/Library/DriverExtensions/IOUserBluetoothSerialDriver.dext/IOUserBluetoothSerialDriver com.apple.IOUserBluetoothSerialDriver 0x100000da4 com.apple.IOUserBluetoothSerialDriver
root              1796   0.0  0.1 426953232   8224   ??  Ss    5:31PM   0:00.14 /System/Library/PrivateFrameworks/AuthKit.framework/Versions/A/Support/akd
rushikeshgade      658   0.0  0.1 426951632   9328   ??  S     5:31PM   0:00.18 /System/Library/CoreServices/diagnostics_agent
rushikeshgade      702   0.0  0.1 426917120   4416   ??  S     5:31PM   0:00.05 /System/Library/Frameworks/FamilyControls.framework/Versions/A/FamilyControlsAgent
rushikeshgade      640   0.0  0.2 426961792  15504   ??  S     5:31PM   0:01.66 /System/Library/PrivateFrameworks/AXAssetLoader.framework/Support/axassetsd
rushikeshgade      730   0.0  0.1 426962880   8752   ??  S     5:31PM   0:00.19 /System/Library/PrivateFrameworks/CoreParsec.framework/parsec-fbf
root              1791   0.0  0.1 426951920   5872   ??  S     5:31PM   0:00.08 /usr/sbin/systemstats --logger-helper /private/var/db/systemstats
root               635   0.0  0.1 426950736   4496   ??  Ss    5:31PM   0:00.15 /System/Library/PrivateFrameworks/EcosystemAnalytics.framework/Support/ecosystemanalyticsd
rushikeshgade     1346   0.0  0.1 411182768  12336   ??  Ss    5:31PM   0:00.16 /System/Library/PrivateFrameworks/StocksKit.framework/XPCServices/StocksKitService.xpc/Contents/MacOS/StocksKitService
root              1504   0.0  0.1 426951056   8160   ??  Ss    5:31PM   0:00.13 /usr/libexec/countryd
root              1402   0.0  0.2 426950832  12736   ??  Ss    5:31PM   0:00.13 /usr/libexec/wifivelocityd
root              1353   0.0  0.0 426951008   4128   ??  Ss    5:31PM   0:01.43 /Library/Apple/System/Library/CoreServices/XProtect.app/Contents/XPCServices/XProtectPluginService.xpc/Contents/MacOS/XProtectPluginService
rushikeshgade     1347   0.0  0.2 411483456  17728   ??  Ss    5:31PM   0:00.07 /System/Library/Frameworks/VideoToolbox.framework/Versions/A/XPCServices/VTEncoderXPCService.xpc/Contents/MacOS/VTEncoderXPCService
_nsurlsessiond    1327   0.0  0.0 426916640   1792   ??  S     5:31PM   0:00.13 /usr/sbin/distnoted agent
rushikeshgade     1323   0.0  0.7 1623583264  56720   ??  S     5:31PM   0:03.18 /Users/rushikeshgade/Desktop/Visual Studio Code.app/Contents/Frameworks/Code Helper.app/Contents/MacOS/Code Helper --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-GB --service-sandbox-type=none --user-data-dir=/Users/rushikeshgade/Library/Application Support/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files --field-trial-handle=1718379636,r,2222666090614573713,534909787394901689,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=CalculateNativeWinOcclusion,MacWebContentsOcclusion,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts --variations-seed-version
root              1213   0.0  0.0 410622400   3760   ??  Ss    5:31PM   0:00.03 /System/Library/PrivateFrameworks/FindMyDevice.framework/XPCServices/FindMyDeviceSharedConfigurationXPCService.xpc/Contents/MacOS/FindMyDeviceSharedConfigurationXPCService
rushikeshgade     1124   0.0  0.2 426958080  13488   ??  S     5:31PM   0:00.16 /System/Library/PrivateFrameworks/CallHistory.framework/Support/CallHistorySyncHelper
rushikeshgade     1022   0.0  0.1 426916736   4848   ??  S     5:31PM   0:00.19 /usr/libexec/gamecontrolleragentd
_accessoryupdater   958   0.0  0.0 426916928   3696   ??  Ss    5:31PM   0:00.08 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/XPCServices/ThunderboltAccessoryUpdaterService.xpc/Contents/MacOS/ThunderboltAccessoryUpdaterService
root               887   0.0  0.1 411181824  11792   ??  Ss    5:31PM   0:00.13 /System/Library/PrivateFrameworks/XprotectFramework.framework/Versions/A/XPCServices/XProtectBridgeService.xpc/Contents/MacOS/XProtectBridgeService
root               886   0.0  0.1 411181552   7456   ??  Ss    5:31PM   0:00.10 /System/Library/PrivateFrameworks/CloudTelemetry.framework/Versions/A/XPCServices/CloudTelemetryService.xpc/Contents/MacOS/CloudTelemetryService
root               898   0.0  0.0 426916352   3056   ??  Ss    5:31PM   0:00.43 /usr/libexec/sysmond
_gamecontrollerd   897   0.0  0.0 426916640   1792   ??  S     5:31PM   0:00.12 /usr/sbin/distnoted agent
rushikeshgade      896   0.0  0.3 444037200  24480   ??  S     5:31PM   0:00.87 /Users/rushikeshgade/Desktop/Visual Studio Code.app/Contents/Frameworks/Code Helper.app/Contents/MacOS/Code Helper --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-GB --service-sandbox-type=network --user-data-dir=/Users/rushikeshgade/Library/Application Support/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files --field-trial-handle=1718379636,r,2222666090614573713,534909787394901689,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=CalculateNativeWinOcclusion,MacWebContentsOcclusion,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts --variations-seed-version --seatbelt-client=36
rushikeshgade      894   0.0  0.0 443692544   3536   ??  S     5:31PM   0:00.01 /Users/rushikeshgade/Desktop/Visual Studio Code.app/Contents/Frameworks/Electron Framework.framework/Helpers/chrome_crashpad_handler --no-rate-limit --monitor-self-annotation=ptype=crashpad-handler --database=/Users/rushikeshgade/Library/Application Support/Code/Crashpad --url=appcenter://code?aid=de75e3cc-e22f-4f42-a03f-1409c21d8af8&uid=33ddfcab-a230-4bba-87c7-fba06c41cd85&iid=33ddfcab-a230-4bba-87c7-fba06c41cd85&sid=33ddfcab-a230-4bba-87c7-fba06c41cd85 --annotation=_companyName=Microsoft --annotation=_productName=VSCode --annotation=_version=1.99.3 --annotation=plat=OS X --annotation=prod=Electron --annotation=ver=34.3.2 --handshake-fd=24
_applepay          891   0.0  0.0 426916640   1792   ??  S     5:31PM   0:00.12 /usr/sbin/distnoted agent
rushikeshgade      892   0.0  0.2 426958448  12848   ??  S     5:31PM   0:00.17 /System/Library/Frameworks/StoreKit.framework/Support/storekitagent
_applepay          890   0.0  0.0 410790848   3904   ??  Ss    5:31PM   0:00.02 /System/Library/PrivateFrameworks/NearFieldPrivateServices.framework/Versions/A/XPCServices/NFStorageServer.xpc/Contents/MacOS/NFStorageServer
root               889   0.0  0.2 426961984  14288   ??  Ss    5:31PM   0:01.12 /usr/libexec/gamepolicyd
root               888   0.0  0.1 426951584   4272   ??  Ss    5:31PM   0:00.35 /System/Library/PrivateFrameworks/MobileSoftwareUpdate.framework/Versions/A/XPCServices/com.apple.MobileSoftwareUpdate.CleanupPreparePathService.xpc/Contents/MacOS/com.apple.MobileSoftwareUpdate.CleanupPreparePathService
rushikeshgade      885   0.0  2.1 1624404880 173216   ??  S     5:31PM   0:58.51 /Users/rushikeshgade/Desktop/Visual Studio Code.app/Contents/MacOS/Electron
_applepay          883   0.0  0.1 426952576   8848   ??  Ss    5:31PM   0:00.33 /usr/libexec/nfcd
rushikeshgade      884   0.0  0.0 410163616   1792   ??  Ss    5:31PM   0:00.01 /System/Library/Frameworks/NetFS.framework/Versions/A/XPCServices/PlugInLibraryService.xpc/Contents/MacOS/PlugInLibraryService
rushikeshgade      882   0.0  0.1 426950736   9504   ??  S     5:31PM   0:00.09 /System/Library/PrivateFrameworks/Synapse.framework/Support/contentlinkingd
rushikeshgade      869   0.0  0.2 411185104  17824   ??  Ss    5:31PM   0:00.21 /System/Library/PrivateFrameworks/CloudTelemetry.framework/Versions/A/XPCServices/CloudTelemetryService.xpc/Contents/MacOS/CloudTelemetryService
rushikeshgade      641   0.0  0.3 426968800  23168   ??  S     5:31PM   0:00.81 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/ContextStoreAgent
root               881   0.0  0.1 410956272   7392   ??  Ss    5:31PM   0:00.08 /System/Library/PrivateFrameworks/CloudTelemetry.framework/Versions/A/XPCServices/CloudTelemetryService.xpc/Contents/MacOS/CloudTelemetryService
rushikeshgade      596   0.0  0.0 426917232   3744   ??  S     5:31PM   0:00.03 /System/Library/PrivateFrameworks/CloudServices.framework/Helpers/com.apple.sbd
rushikeshgade      660   0.0  0.2 426970608  15808   ??  S     5:31PM   0:01.01 /usr/libexec/remindd
_accessoryupdater   880   0.0  0.0 426916640   1792   ??  S     5:31PM   0:00.13 /usr/sbin/distnoted agent
_accessoryupdater   879   0.0  0.0 426916336   2944   ??  Ss    5:31PM   0:00.05 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/XPCServices/UARPUpdaterServiceHID.xpc/Contents/MacOS/UARPUpdaterServiceHID
_accessoryupdater   876   0.0  0.0 426949568   3984   ??  Ss    5:31PM   0:00.05 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/XPCServices/UARPUpdaterServiceLegacyAudio.xpc/Contents/MacOS/UARPUpdaterServiceLegacyAudio
_accessoryupdater   878   0.0  0.0 410912592   2688   ??  Ss    5:31PM   0:00.04 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/XPCServices/UARPUpdaterServiceAFU.xpc/Contents/MacOS/UARPUpdaterServiceAFU
_accessoryupdater   877   0.0  0.0 410690976   3200   ??  Ss    5:31PM   0:00.02 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/XPCServices/UARPUpdaterServiceDFU.xpc/Contents/MacOS/UARPUpdaterServiceDFU
_accessoryupdater   875   0.0  0.0 410824624   3664   ??  Ss    5:31PM   0:00.06 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/XPCServices/UARPUpdaterServiceUSBPD.xpc/Contents/MacOS/UARPUpdaterServiceUSBPD
_accessoryupdater   874   0.0  0.1 426957152   5168   ??  Ss    5:31PM   0:00.06 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/XPCServices/UARPUpdaterServiceDisplay.xpc/Contents/MacOS/UARPUpdaterServiceDisplay
_fpsd              873   0.0  0.0 426932112   2400   ??  Ss    5:31PM   0:00.13 /System/Library/PrivateFrameworks/CoreFP.framework/Versions/A/fairplayd
rushikeshgade      872   0.0  0.1 426955872  11088   ??  S     5:31PM   0:00.28 /System/Library/Frameworks/FinanceKit.framework/financed
rushikeshgade      871   0.0  0.0 426916672   3920   ??  S     5:31PM   0:00.04 /System/Library/PrivateFrameworks/CoreThreadCommissionerService.framework/CoreThreadCommissionerServiced
rushikeshgade      868   0.0  0.2 412211232  17520   ??  S     5:31PM   0:03.75 /opt/homebrew/opt/mysql/bin/mysqld --basedir=/opt/homebrew/opt/mysql --datadir=/opt/homebrew/var/mysql --plugin-dir=/opt/homebrew/opt/mysql/lib/plugin --log-error=Rushikeshs-MacBook-Air.local.err --pid-file=Rushikeshs-MacBook-Air.local.pid
rushikeshgade      652   0.0  0.1 426953376  11488   ??  S     5:31PM   0:00.20 /System/Library/PrivateFrameworks/AskPermission.framework/Versions/A/Resources/askpermissiond
root               823   0.0  0.0 426917744   2224   ??  Ss    5:31PM   0:00.04 /System/Library/PrivateFrameworks/CoreSymbolication.framework/coresymbolicationd
rushikeshgade      784   0.0  0.2 426961968  18672   ??  Ss    5:31PM   0:00.04 /System/Library/CoreServices/Batteries.app/Contents/PlugIns/BatteriesAvocadoWidgetExtension.appex/Contents/MacOS/BatteriesAvocadoWidgetExtension
rushikeshgade      783   0.0  0.2 426961744  18128   ??  Ss    5:31PM   0:00.04 /System/Applications/FindMy.app/Contents/PlugIns/FindMyWidgetPeople.appex/Contents/MacOS/FindMyWidgetPeople
rushikeshgade      782   0.0  0.1 426961696   8416   ??  Ss    5:31PM   0:00.02 /System/Applications/Photos.app/Contents/PlugIns/PhotosReliveWidget.appex/Contents/MacOS/PhotosReliveWidget
rushikeshgade      781   0.0  0.2 426954256  12832   ??  S     5:31PM   0:00.13 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/commerce
rushikeshgade      780   0.0  0.1 411087360   9888   ??  Ss    5:31PM   0:01.50 /System/Library/PrivateFrameworks/CloudTelemetry.framework/Versions/A/XPCServices/CloudTelemetryService.xpc/Contents/MacOS/CloudTelemetryService
rushikeshgade      779   0.0  0.1 426961680   8336   ??  Ss    5:31PM   0:00.02 /System/Applications/Shortcuts.app/Contents/PlugIns/ShortcutsWidgetExtension.appex/Contents/MacOS/ShortcutsWidgetExtension
rushikeshgade      778   0.0  0.1 426971152  10928   ??  Ss    5:31PM   0:00.04 /System/Library/CoreServices/PeopleViewService.app/Contents/PlugIns/PeopleWidget_macOSExtension.appex/Contents/MacOS/PeopleWidget_macOSExtension
root               777   0.0  0.0 426924432   2944   ??  Ss    5:31PM   0:00.08 /System/Library/PrivateFrameworks/AssetCacheServicesExtensions.framework/XPCServices/AssetCacheTetheratorService.xpc/Contents/MacOS/AssetCacheTetheratorService
rushikeshgade      776   0.0  0.1 426962096   9184   ??  Ss    5:31PM   0:00.06 /System/Volumes/Preboot/Cryptexes/App/System/Applications/Safari.app/Contents/Extensions/SafariWidgetExtension.appex/Contents/MacOS/SafariWidgetExtension
rushikeshgade      775   0.0  0.2 426962576  19072   ??  Ss    5:31PM   0:00.05 /System/Applications/Home.app/Contents/PlugIns/HomeWidget.appex/Contents/MacOS/HomeWidget
_assetcache        774   0.0  0.1 426952560   5216   ??  Ss    5:31PM   0:00.07 /usr/libexec/AssetCache/AssetCache
rushikeshgade      773   0.0  0.1 426961408   8640   ??  Ss    5:31PM   0:00.02 /System/Applications/Tips.app/Contents/PlugIns/TipsWidgetExtension.appex/Contents/MacOS/TipsWidgetExtension
rushikeshgade      772   0.0  0.2 426961984  19824   ??  Ss    5:31PM   0:00.06 /System/Applications/Home.app/Contents/PlugIns/HomeEnergyWidgetsExtension.appex/Contents/MacOS/HomeEnergyWidgetsExtension
rushikeshgade      771   0.0  0.1 426952672   9872   ??  S     5:31PM   0:00.16 /System/Library/PrivateFrameworks/AssetCacheServices.framework/Versions/A/XPCServices/AssetCacheLocatorService.xpc/Contents/MacOS/AssetCacheLocatorService -a
root               770   0.0  0.1 426964016   8880   ??  Ss    5:31PM   0:00.08 /usr/sbin/systemsoundserverd
rushikeshgade      769   0.0  0.1 426961696   9728   ??  Ss    5:31PM   0:00.04 /System/Applications/Notes.app/Contents/PlugIns/com.apple.Notes.WidgetExtension.appex/Contents/MacOS/com.apple.Notes.WidgetExtension
rushikeshgade      766   0.0  0.2 426962320  18288   ??  Ss    5:31PM   0:00.04 /System/Applications/FindMy.app/Contents/PlugIns/FindMyWidgetItems.appex/Contents/MacOS/FindMyWidgetItems
rushikeshgade      762   0.0  0.1 426961824  10752   ??  Ss    5:31PM   0:00.05 /System/Applications/Reminders.app/Contents/PlugIns/RemindersWidgetExtension.appex/Contents/MacOS/RemindersWidgetExtension
rushikeshgade      759   0.0  0.1 426952144   9120   ??  S     5:31PM   0:00.09 /usr/libexec/swtransparencyd
root               757   0.0  0.1 426950032   5232   ??  Ss    5:31PM   0:00.05 /System/Library/CoreServices/osanalyticshelper server-init
rushikeshgade      756   0.0  0.3 426980496  22928   ??  S     5:31PM   0:00.46 /usr/libexec/linkd
rushikeshgade      755   0.0  0.4 426997904  30160   ??  Ss    5:31PM   0:02.14 /System/Applications/Clock.app/Contents/PlugIns/WorldClockWidget.appex/Contents/MacOS/WorldClockWidget
rushikeshgade      752   0.0  0.2 427002176  19776   ??  Ss    5:31PM   0:00.37 /System/Applications/Calendar.app/Contents/PlugIns/CalendarWidgetExtension.appex/Contents/MacOS/CalendarWidgetExtension
root               754   0.0  0.0 426912608   2256   ??  Ss    5:31PM   0:00.63 /System/Library/PrivateFrameworks/CacheDelete.framework/deleted_helper
_fpsd              753   0.0  0.1 426919920   4736   ??  Ss    5:31PM   0:00.71 /System/Library/PrivateFrameworks/CoreADI.framework/adid
rushikeshgade      749   0.0  0.1 427321664   8848   ??  S     5:31PM   0:01.28 /System/Library/PrivateFrameworks/SiriTTSService.framework/sirittsd
rushikeshgade      737   0.0  0.2 427001344  19584   ??  Ss    5:31PM   0:00.06 /System/Applications/Podcasts.app/Contents/PlugIns/PodcastsWidget.appex/Contents/MacOS/PodcastsWidget
root               748   0.0  0.1 426950992   5216   ??  Ss    5:31PM   0:00.37 /usr/libexec/aned
rushikeshgade      747   0.0  0.1 426916224   4320   ??  S     5:31PM   0:00.05 /System/Library/PrivateFrameworks/ContinuousDialogManagerService.framework/assistant_cdmd
rushikeshgade      742   0.0  0.1 426916496   8304   ??  S     5:31PM   0:00.03 /System/Library/PrivateFrameworks/CommunicationsFilter.framework/CMFSyncAgent
root               741   0.0  0.2 426968160  15936   ??  Ss    5:31PM   0:00.26 /System/Library/PrivateFrameworks/AppSSO.framework/Support/AppSSODaemon
rushikeshgade      740   0.0  0.5 426972912  38640   ??  S     5:31PM   0:02.56 /System/Library/PrivateFrameworks/AssistantServices.framework/Versions/A/Support/assistantd
rushikeshgade      739   0.0  0.2 426964016  17376   ??  S     5:31PM   0:00.55 /System/Library/PrivateFrameworks/iCloudNotification.framework/iCloudNotificationAgent
rushikeshgade      738   0.0  0.4 411516112  36720   ??  S     5:31PM   0:00.18 /System/Library/PrivateFrameworks/AppSSO.framework/Support/AppSSOAgent.app/Contents/MacOS/AppSSOAgent
rushikeshgade      736   0.0  0.1 426951616  12272   ??  S     5:31PM   0:00.15 /System/Library/PrivateFrameworks/EmailDaemon.framework/Versions/A/maild
rushikeshgade      735   0.0  0.1 426980656   9632   ??  Ss    5:31PM   0:00.29 /System/Library/Frameworks/Speech.framework/Versions/A/XPCServices/localspeechrecognition.xpc/Contents/MacOS/localspeechrecognition
rushikeshgade      732   0.0  0.7 427234624  60032   ??  Ss    5:31PM   0:01.79 /System/Applications/Weather.app/Contents/PlugIns/WeatherWidget.appex/Contents/MacOS/WeatherWidget
rushikeshgade      734   0.0  0.0 426913024   2144   ??  S     5:31PM   0:00.02 /System/Library/CoreServices/ReportCrash agent
rushikeshgade      733   0.0  0.2 431349152  17056   ??  S     5:31PM   0:00.75 /System/Library/PrivateFrameworks/AppleMediaServicesUI.framework/amsengagementd
rushikeshgade      661   0.0  0.2 426965872  18144   ??  S     5:31PM   0:00.42 /System/Library/PrivateFrameworks/AppleMediaServices.framework/Resources/amsaccountsd
_applepay          549   0.0  0.1 426916496   7008   ??  Ss    5:31PM   0:00.11 /usr/libexec/seld
rushikeshgade      731   0.0  0.2 426957584  15088   ??  S     5:31PM   0:00.35 /System/Library/PrivateFrameworks/CallHistory.framework/Support/CallHistoryPluginHelper
rushikeshgade      729   0.0  0.2 426961536  20512   ??  S     5:31PM   0:00.93 /usr/libexec/networkserviceproxy
rushikeshgade      728   0.0  0.2 426954656  19280   ??  S     5:31PM   0:00.35 /System/Library/PrivateFrameworks/iTunesCloud.framework/Support/itunescloudd
rushikeshgade      727   0.0  0.2 426958512  16800   ??  S     5:31PM   0:00.25 /usr/libexec/appleaccountd
rushikeshgade      714   0.0  0.5 427234272  39072   ??  Ss    5:31PM   0:00.47 /System/Applications/Stocks.app/Contents/PlugIns/StocksWidget.appex/Contents/MacOS/StocksWidget
rushikeshgade      722   0.0  0.2 426968352  15296   ??  S     5:31PM   0:00.16 /System/Library/CoreServices/Keychain Circle Notification.app/Contents/MacOS/Keychain Circle Notification
rushikeshgade      725   0.0  0.1 426917680   8064   ??  S     5:31PM   0:00.08 /usr/libexec/seserviced
rushikeshgade      723   0.0  0.3 426977184  25408   ??  S     5:31PM   0:02.26 /usr/libexec/searchpartyuseragent
rushikeshgade      721   0.0  0.1 426917472   8352   ??  S     5:31PM   0:00.07 /System/Library/PrivateFrameworks/ProtectedCloudStorage.framework/Helpers/ProtectedCloudKeySyncing
rushikeshgade      720   0.0  0.0 410314112   2272   ??  Ss    5:31PM   0:00.01 /System/Library/PrivateFrameworks/WiFiPolicy.framework/XPCServices/WiFiCloudAssetsXPCService.xpc/Contents/MacOS/WiFiCloudAssetsXPCService
rushikeshgade      717   0.0  0.6 410903776  49472   ??  Ss    5:31PM   0:00.65 /System/Library/CoreServices/Dock.app/Contents/XPCServices/com.apple.dock.extra.xpc/Contents/MacOS/com.apple.dock.extra
rushikeshgade      716   0.0  0.1 426908688  11216   ??  S     5:31PM   0:00.15 /usr/libexec/avconferenced
rushikeshgade      715   0.0  0.3 426972736  26256   ??  S     5:31PM   0:10.39 /System/Library/PrivateFrameworks/MediaAnalysis.framework/Versions/A/mediaanalysisd
rushikeshgade      713   0.0  0.1 426960880  11040   ??  S     5:31PM   0:00.22 /System/Library/CoreServices/ScopedBookmarkAgent
rushikeshgade      712   0.0  0.1 426918160   8752   ??  S     5:31PM   0:00.19 /System/Library/PrivateFrameworks/UserActivity.framework/Agents/useractivityd
rushikeshgade      711   0.0  0.2 426977264  16208   ??  Ss    5:31PM   0:00.22 /System/Library/Input Methods/PressAndHold.app/Contents/PlugIns/PAH_Extension.appex/Contents/MacOS/PAH_Extension -AppleLanguages ("en-IN")
